,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,crdy,fls,fld,crs,int,tklw,team
7,2023-11-19,19:45,UEFA Euro Qualifying,Group stage,Sun,Home,D,3.0,3.0,no Norway,,,50.0,48138.0,John McGinn,4-2-3-1,Horațiu Fesnic,Match Report,,9.0,2.0,1.0,14.0,19.0,21.0,5.0,8.0,scotland
8,2024-03-22,20:45,Friendlies (M),Friendlies (M),Fri,Away,L,0.0,4.0,nl Netherlands,,,,46223.0,Andrew Robertson,3-4-3,Erik Lambrechts,Match Report,,,,2.0,,,,,,scotland
9,2024-03-26,19:45,Friendlies (M),Friendlies (M),Tue,Home,L,0.0,1.0,nir Northern Ireland,,,,,Andrew Robertson,3-4-3,Robert Jones,Match Report,,,,1.0,,,,,,scotland
10,2024-06-03,18:00,Friendlies (M),Friendlies (M),Mon,Neutral,W,2.0,0.0,gi Gibraltar,,,,,Andrew Robertson,4-2-3-1,Jamie Robinson,Match Report,,,,0.0,,,,,,scotland
11,2024-06-07,19:45,Friendlies (M),Friendlies (M),Fri,Home,D,2.0,2.0,fi Finland,,,,40159.0,Andrew Robertson,3-4-3,Łukasz Kuźma,Match Report,,,,1.0,,,,,,scotland
12,2024-06-14,21:00,UEFA Euro,Group stage,Fri,Away,L,1.0,5.0,de Germany,0.0,2.1,28.0,65052.0,Andrew Robertson,5-4-1,Clément Turpin,Match Report,,1.0,0.0,1.0,9.0,14.0,8.0,6.0,8.0,scotland
13,2024-06-19,21:00,UEFA Euro,Group stage,Wed,Home,D,1.0,1.0,ch Switzerland,0.8,0.9,48.0,42711.0,Andrew Robertson,3-4-1-2,Ivan Kružliak,Match Report,,12.0,3.0,3.0,11.0,11.0,23.0,2.0,5.0,scotland
14,2024-06-23,21:00,UEFA Euro,Group stage,Sun,Home,,,,hu Hungary,,,,,,,,Head-to-Head,,,,,,,,,,scotland
0,2023-03-25,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,L,0,3,es Spain,,,37.0,29214.0,Martin Ødegaard,4-1-4-1,Benoît Bastien,Match Report,,6.0,2.0,2.0,13.0,8.0,13.0,4.0,9.0,norway
1,2023-03-28,20:00,UEFA Euro Qualifying,Group stage,Tue,Away,D,1,1,ge Georgia,,,66.0,20300.0,Martin Ødegaard,4-3-3,Andris Treimanis,Match Report,,17.0,6.0,2.0,7.0,6.0,9.0,11.0,15.0,norway
2,2023-06-17,18:00,UEFA Euro Qualifying,Group stage,Sat,Home,L,1,2,sct Scotland,,,59.0,25791.0,Martin Ødegaard,4-3-3,Matej Jug,Match Report,,9.0,3.0,0.0,9.0,12.0,13.0,1.0,5.0,norway
3,2023-06-20,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,3,1,cy Cyprus,,,66.0,23643.0,Martin Ødegaard,4-3-3,Aleksandar Stavrev,Match Report,,17.0,7.0,2.0,11.0,7.0,23.0,4.0,8.0,norway
4,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2,1,ge Georgia,,,62.0,23665.0,Martin Ødegaard,4-3-3,Nikola Dabanović,Match Report,,17.0,4.0,0.0,5.0,5.0,21.0,14.0,14.0,norway
5,2023-10-12,21:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,4,0,cy Cyprus,,,73.0,7206.0,Martin Ødegaard,4-3-3,Donatas Rumšas,Match Report,,22.0,9.0,0.0,9.0,3.0,29.0,4.0,6.0,norway
6,2023-10-15,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,L,0,1,es Spain,,,33.0,25885.0,Martin Ødegaard,4-2-3-1,Tobias Stieler,Match Report,,5.0,2.0,2.0,11.0,8.0,14.0,5.0,9.0,norway
7,2023-11-19,19:45,UEFA Euro Qualifying,Group stage,Sun,Away,D,3,3,sct Scotland,,,50.0,48138.0,Sander Berge,4-3-3,Horațiu Fesnic,Match Report,,13.0,7.0,3.0,20.0,14.0,18.0,8.0,8.0,norway
8,2024-03-22,18:00,Friendlies (M),Friendlies (M),Fri,Home,L,1,2,cz Czechia,,,,11891.0,Martin Ødegaard,4-1-4-1,Willy Delajod,Match Report,,,,2.0,,,,,,norway
9,2024-03-26,19:00,Friendlies (M),Friendlies (M),Tue,Home,D,1,1,sk Slovakia,,,,9099.0,Martin Ødegaard,4-1-4-1,Giorgi Kruashvili,Match Report,,,,1.0,,,,,,norway
10,2024-06-05,19:00,Friendlies (M),Friendlies (M),Wed,Home,W,3,0,xk Kosovo,,,,19634.0,Martin Ødegaard,4-2-3-1,Mikkel Redder,Match Report,,,,2.0,,,,,,norway
11,2024-06-08,19:30,Friendlies (M),Friendlies (M),Sat,Away,L,1,3,dk Denmark,,,,23390.0,Martin Ødegaard,4-1-4-1,Stéphanie Frappart,Match Report,,,,1.0,,,,,,norway
0,2023-03-28,20:00,UEFA Euro Qualifying,Group stage,Tue,Home,D,1,1,no Norway,,,34.0,20300.0,Guram Kashia,5-3-2,Andris Treimanis,Match Report,,15.0,3.0,3.0,6.0,5.0,15.0,16.0,16.0,georgia
1,2023-06-17,21:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,2,1,cy Cyprus,,,55.0,3763.0,Guram Kashia,3-5-2,Fábio Veríssimo,Match Report,,19.0,5.0,2.0,11.0,6.0,8.0,10.0,11.0,georgia
2,2023-06-20,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0,2,sct Scotland,,,49.0,50062.0,Guram Kashia,4-4-1-1,István Vad II,Match Report,,9.0,0.0,2.0,7.0,11.0,3.0,13.0,10.0,georgia
3,2023-09-08,20:00,UEFA Euro Qualifying,Group stage,Fri,Home,L,1,7,es Spain,,,28.0,51694.0,Guram Kashia,4-4-2,Daniel Siebert,Match Report,,5.0,2.0,5.0,10.0,5.0,8.0,10.0,10.0,georgia
4,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,1,2,no Norway,,,38.0,23665.0,Guram Kashia,5-3-2,Nikola Dabanović,Match Report,,7.0,2.0,2.0,5.0,4.0,8.0,14.0,17.0,georgia
5,2023-10-15,17:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,4,0,cy Cyprus,,,60.0,15871.0,Guram Kashia,5-3-2,Robert Jones,Match Report,,12.0,5.0,1.0,16.0,10.0,14.0,11.0,8.0,georgia
6,2023-11-16,21:00,UEFA Euro Qualifying,Group stage,Thu,Home,D,2,2,sct Scotland,,,36.0,44595.0,Guram Kashia,5-3-2,Aleksandar Stavrev,Match Report,,8.0,6.0,3.0,17.0,13.0,8.0,11.0,2.0,georgia
7,2023-11-19,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,L,1,3,es Spain,,,24.0,24146.0,Guram Kashia,5-3-2,Ovidiu Hațegan,Match Report,,8.0,1.0,2.0,9.0,9.0,4.0,13.0,12.0,georgia
8,2024-03-21,21:00,UEFA Euro Qualifying,Semi-finals,Thu,Home,W,2,0,lu Luxembourg,,,56.0,,Guram Kashia,5-3-2,José Sánchez,Match Report,,13.0,4.0,4.0,17.0,20.0,19.0,14.0,12.0,georgia
9,2024-03-26,21:00,UEFA Euro Qualifying,Finals,Tue,Home,D,0 (4),0 (2),gr Greece,,,36.0,,Guram Kashia,3-1-4-2,Szymon Marciniak,Match Report,Georgia won on penalty kicks following extra time,16.0,3.0,2.0,13.0,16.0,15.0,17.0,11.0,georgia
10,2024-06-09,20:45,Friendlies (M),Friendlies (M),Sun,Away,W,3,1,me Montenegro,,,,3500.0,Guram Kashia,3-5-2,Aleksandar Stavrev,Match Report,,,,0.0,,,,,,georgia
11,2024-06-18,18:00,UEFA Euro,Group stage,Tue,Away,L,1,3,tr Türkiye,1.4,3.0,44.0,59127.0,Guram Kashia,3-5-2,Facundo Tello,Match Report,,14.0,4.0,1.0,7.0,10.0,20.0,8.0,16.0,georgia
12,2024-06-22,15:00,UEFA Euro,Group stage,Sat,Home,,,,cz Czechia,,,,,,,,Head-to-Head,,,,,,,,,,georgia
13,2024-06-26,21:00,UEFA Euro,Group stage,Wed,Home,,,,pt Portugal,,,,,,,,Head-to-Head,,,,,,,,,,georgia
0,2023-03-25,14:00,UEFA Euro Qualifying,Group stage,Sat,Away,L,0,3,sct Scotland,,,39.0,48195.0,Kostakis Artymatas,3-5-1-1,Duje Strukan,Match Report,,6.0,2.0,3.0,14.0,16.0,1.0,19.0,12.0,cyprus
1,2023-06-17,21:45,UEFA Euro Qualifying,Group stage,Sat,Home,L,1,2,ge Georgia,,,46.0,3763.0,Grigoris Kastanos,3-5-2,Fábio Veríssimo,Match Report,,11.0,5.0,3.0,6.0,11.0,16.0,5.0,8.0,cyprus
2,2023-06-20,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,1,3,no Norway,,,34.0,23643.0,Grigoris Kastanos,5-4-1,Aleksandar Stavrev,Match Report,,9.0,3.0,1.0,9.0,11.0,10.0,9.0,9.0,cyprus
3,2023-09-08,21:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,0,3,sct Scotland,,,43.0,6633.0,Pieros Sotiriou,3-5-2,Balázs Berke,Match Report,,5.0,3.0,3.0,12.0,10.0,6.0,8.0,10.0,cyprus
4,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0,6,es Spain,,,19.0,17311.0,Pieros Sotiriou,3-5-2,Simone Sozza,Match Report,,1.0,1.0,1.0,4.0,6.0,1.0,6.0,7.0,cyprus
5,2023-10-12,21:45,UEFA Euro Qualifying,Group stage,Thu,Home,L,0,4,no Norway,,,27.0,7206.0,Charalambos Kyriakou,5-3-2,Donatas Rumšas,Match Report,,2.0,0.0,1.0,3.0,9.0,4.0,7.0,5.0,cyprus
6,2023-10-15,17:00,UEFA Euro Qualifying,Group stage,Sun,Away,L,0,4,ge Georgia,,,40.0,15871.0,Demetris Christofi,5-3-2,Robert Jones,Match Report,,10.0,5.0,2.0,12.0,16.0,15.0,11.0,9.0,cyprus
7,2023-11-16,19:00,UEFA Euro Qualifying,Group stage,Thu,Home,L,1,3,es Spain,,,23.0,9667.0,Charalambos Kyriakou,5-4-1,Mykola Balakin,Match Report,,4.0,3.0,4.0,10.0,9.0,2.0,6.0,9.0,cyprus
8,2024-03-21,19:00,Friendlies (M),Friendlies (M),Thu,Home,D,1,1,lv Latvia,,,,600.0,Charalambos Kyriakou,3-5-2,Lukas Fähndrich,Match Report,,,,1.0,,,,,,cyprus
9,2024-03-25,19:00,Friendlies (M),Friendlies (M),Mon,Home,L,0,1,rs Serbia,,,,2100.0,Charalambos Kyriakou,5-4-1,Marco Di Bello,Match Report,,,,1.0,,,,,,cyprus
10,2024-06-08,19:00,Friendlies (M),Friendlies (M),Sat,Away,L,2,3,md Moldova,,,,4000.0,Grigoris Kastanos,4-2-3-1,Denys Shurman,Match Report,,,,1.0,,,,,,cyprus
11,2024-06-11,18:00,Friendlies (M),Friendlies (M),Tue,Away,W,4,1,sm San Marino,,,,358.0,Kostakis Artymatas,3-4-1-2,Ishmael Barbara,Match Report,,,,0.0,,,,,,cyprus
0,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,4.0,0.0,nl Netherlands,,,41.0,77328.0,Kylian Mbappé,4-2-3-1,Maurizio Mariani,Match Report,,12.0,8.0,4.0,12.0,14.0,10.0,14.0,11.0,france
1,2023-03-27,19:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,1.0,0.0,ie Rep. of Ireland,,,65.0,50219.0,Kylian Mbappé,4-3-3,Artur Soares Dias,Match Report,,11.0,4.0,1.0,11.0,18.0,20.0,5.0,8.0,france
2,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,0.0,gi Gibraltar,,,82.0,4065.0,Kylian Mbappé,4-3-3,Yevhen Aranovskyi,Match Report,,31.0,9.0,0.0,6.0,3.0,44.0,4.0,16.0,france
3,2023-06-19,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,1.0,0.0,gr Greece,,,62.0,76500.0,Kylian Mbappé,4-2-3-1,Antonio Matéu,Match Report,,19.0,5.0,0.0,8.0,10.0,20.0,8.0,4.0,france
4,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,2.0,0.0,ie Rep. of Ireland,,,68.0,43995.0,Kylian Mbappé,4-2-3-1,Urs Schnyder,Match Report,,25.0,5.0,2.0,11.0,8.0,21.0,4.0,6.0,france
5,2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,2.0,1.0,nl Netherlands,,,55.0,51310.0,Kylian Mbappé,4-3-3,Felix Zwayer,Match Report,,15.0,7.0,2.0,9.0,14.0,12.0,10.0,6.0,france
6,2023-11-18,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,14.0,0.0,gi Gibraltar,,,73.0,32758.0,Kylian Mbappé,4-2-3-1,John Brooks,Match Report,,39.0,20.0,0.0,10.0,4.0,30.0,4.0,10.0,france
7,2023-11-21,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,D,2.0,2.0,gr Greece,,,67.0,24820.0,Antoine Griezmann,4-2-3-1,Daniel Siebert,Match Report,,15.0,7.0,3.0,11.0,5.0,31.0,2.0,7.0,france
8,2024-03-23,21:00,Friendlies (M),Friendlies (M),Sat,Home,L,0.0,2.0,de Germany,,,,,Kylian Mbappé,4-1-4-1,Jesús Gil,Match Report,,,,2.0,,,,,,france
9,2024-03-26,21:00,Friendlies (M),Friendlies (M),Tue,Home,W,3.0,2.0,cl Chile,,,,,Kylian Mbappé,4-1-4-1,Anthony Taylor,Match Report,,,,0.0,,,,,,france
10,2024-06-05,21:00,Friendlies (M),Friendlies (M),Wed,Home,W,3.0,0.0,lu Luxembourg,,,,25590.0,Kylian Mbappé,4-2-3-1,Lawrence Visser,Match Report,,,,0.0,,,,,,france
11,2024-06-09,21:15,Friendlies (M),Friendlies (M),Sun,Home,D,0.0,0.0,ca Canada,,,,40835.0,Olivier Giroud,4-2-3-1,Fábio Veríssimo,Match Report,,,,1.0,,,,,,france
12,2024-06-17,21:00,UEFA Euro,Group stage,Mon,Away,W,1.0,0.0,at Austria,2.0,0.8,48.0,46425.0,Kylian Mbappé,4-2-3-1,Jesús Gil,Match Report,,14.0,3.0,2.0,11.0,18.0,12.0,6.0,7.0,france
13,2024-06-21,21:00,UEFA Euro,Group stage,Fri,Away,,,,nl Netherlands,,,,,,,,Head-to-Head,,,,,,,,,,france
14,2024-06-25,18:00,UEFA Euro,Group stage,Tue,Home,,,,pl Poland,,,,,,,,Head-to-Head,,,,,,,,,,france
0,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,0.0,4.0,fr France,,,59.0,77328.0,Virgil van Dijk,4-3-3,Maurizio Mariani,Match Report,,11.0,5.0,2.0,14.0,9.0,13.0,6.0,12.0,netherlands
1,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,3.0,0.0,gi Gibraltar,,,87.0,36327.0,Virgil van Dijk,4-3-3,Morten Krogh,Match Report,,51.0,12.0,0.0,8.0,5.0,61.0,2.0,11.0,netherlands
2,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,3.0,0.0,gr Greece,,,53.0,32079.0,Virgil van Dijk,3-4-3,Michael Oliver,Match Report,,14.0,6.0,2.0,12.0,9.0,11.0,6.0,10.0,netherlands
3,2023-09-10,19:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,2.0,1.0,ie Rep. of Ireland,,,48.0,49807.0,Virgil van Dijk,3-4-3,Irfan Peljto,Match Report,,9.0,5.0,3.0,11.0,16.0,13.0,3.0,7.0,netherlands
4,2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,1.0,2.0,fr France,,,46.0,51310.0,Virgil van Dijk,4-2-3-1,Felix Zwayer,Match Report,,8.0,4.0,2.0,14.0,9.0,15.0,10.0,10.0,netherlands
5,2023-10-16,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,1.0,0.0,gr Greece,,,60.0,24967.0,Virgil van Dijk,4-2-3-1,Alejandro Hernández,Match Report,,11.0,6.0,2.0,15.0,11.0,17.0,7.0,4.0,netherlands
6,2023-11-18,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,1.0,0.0,ie Rep. of Ireland,,,55.0,51811.0,Virgil van Dijk,3-4-3,Marco Di Bello,Match Report,,19.0,5.0,0.0,13.0,4.0,14.0,15.0,9.0,netherlands
7,2023-11-21,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,6.0,0.0,gi Gibraltar,,,79.0,2280.0,Virgil van Dijk,4-3-3,Arda Kardeşler,Match Report,,23.0,9.0,1.0,11.0,13.0,37.0,6.0,4.0,netherlands
8,2024-03-22,20:45,Friendlies (M),Friendlies (M),Fri,Home,W,4.0,0.0,sct Scotland,,,,46223.0,Virgil van Dijk,4-1-4-1,Erik Lambrechts,Match Report,,,,1.0,,,,,,netherlands
9,2024-03-26,20:45,Friendlies (M),Friendlies (M),Tue,Away,L,1.0,2.0,de Germany,,,,48390.0,Virgil van Dijk,3-4-1-2,Espen Eskås,Match Report,,,,1.0,,,,,,netherlands
10,2024-06-06,20:45,Friendlies (M),Friendlies (M),Thu,Home,W,4.0,0.0,ca Canada,,,,36060.0,Daley Blind,4-1-4-1,Rohit Saggi,Match Report,,,,0.0,,,,,,netherlands
11,2024-06-10,20:45,Friendlies (M),Friendlies (M),Mon,Home,W,4.0,0.0,is Iceland,,,,,Virgil van Dijk,4-2-3-1,Evangelos Manouchos,Match Report,,,,0.0,,,,,,netherlands
12,2024-06-16,15:00,UEFA Euro,Group stage,Sun,Away,W,2.0,1.0,pl Poland,1.4,1.3,66.0,48117.0,Virgil van Dijk,4-2-3-1,Artur Soares Dias,Match Report,,21.0,4.0,1.0,8.0,10.0,21.0,3.0,11.0,netherlands
13,2024-06-21,21:00,UEFA Euro,Group stage,Fri,Home,,,,fr France,,,,,,,,Head-to-Head,,,,,,,,,,netherlands
14,2024-06-25,18:00,UEFA Euro,Group stage,Tue,Home,,,,at Austria,,,,,,,,Head-to-Head,,,,,,,,,,netherlands
0,2023-03-24,19:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3,0,gi Gibraltar,,,72.0,390.0,Anastasios Bakasetas,4-2-3-1,Rohit Saggi,Match Report,,29.0,7.0,1.0,13.0,5.0,46.0,16.0,7.0,greece
1,2023-06-16,21:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,2,1,ie Rep. of Ireland,,,49.0,17452.0,Anastasios Bakasetas,4-2-3-1,Harald Lechner,Match Report,,19.0,6.0,4.0,11.0,9.0,21.0,7.0,4.0,greece
2,2023-06-19,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,0,1,fr France,,,38.0,76500.0,Anastasios Bakasetas,4-2-3-1,Antonio Matéu,Match Report,,6.0,2.0,4.0,10.0,8.0,9.0,14.0,16.0,greece
3,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,L,0,3,nl Netherlands,,,47.0,32079.0,Anastasios Bakasetas,4-2-3-1,Michael Oliver,Match Report,,6.0,1.0,4.0,10.0,12.0,21.0,4.0,8.0,greece
4,2023-09-10,21:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,5,0,gi Gibraltar,,,83.0,9774.0,Anastasios Bakasetas,4-3-3,Manfredas Lukjančukas,Match Report,,21.0,12.0,0.0,9.0,6.0,49.0,3.0,7.0,greece
5,2023-10-13,19:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,2,0,ie Rep. of Ireland,,,42.0,41239.0,Anastasios Bakasetas,4-3-3,Glenn Nyberg,Match Report,,10.0,5.0,2.0,16.0,8.0,19.0,10.0,9.0,greece
6,2023-10-16,21:45,UEFA Euro Qualifying,Group stage,Mon,Home,L,0,1,nl Netherlands,,,40.0,24967.0,Anastasios Bakasetas,5-3-2,Alejandro Hernández,Match Report,,8.0,2.0,4.0,12.0,14.0,19.0,14.0,12.0,greece
7,2023-11-21,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,D,2,2,fr France,,,33.0,24820.0,Anastasios Bakasetas,3-5-2,Daniel Siebert,Match Report,,8.0,2.0,3.0,5.0,11.0,7.0,14.0,10.0,greece
8,2024-03-21,21:45,UEFA Euro Qualifying,Semi-finals,Thu,Home,W,5,0,kz Kazakhstan,,,64.0,,Anastasios Bakasetas,4-3-3,Danny Makkelie,Match Report,,21.0,10.0,1.0,10.0,13.0,22.0,10.0,9.0,greece
9,2024-03-26,21:00,UEFA Euro Qualifying,Finals,Tue,Away,D,0 (2),0 (4),ge Georgia,,,64.0,,Anastasios Bakasetas,4-2-3-1,Szymon Marciniak,Match Report,Georgia won on penalty kicks following extra time,13.0,2.0,5.0,16.0,13.0,36.0,12.0,13.0,greece
10,2024-06-07,20:45,Friendlies (M),Friendlies (M),Fri,Away,L,1,2,de Germany,,,,45488.0,Anastasios Bakasetas,4-2-3-1,José Luis Munuera,Match Report,,,,1.0,,,,,,greece
11,2024-06-11,18:00,Friendlies (M),Friendlies (M),Tue,Neutral,W,2,0,mt Malta,,,,500.0,Anastasios Bakasetas,4-2-3-1,Alan Kijas,Match Report,,,,1.0,,,,,,greece
0,2023-03-27,19:45,UEFA Euro Qualifying,Group stage,Mon,Home,L,0,1,fr France,,,35.0,50219.0,Séamus Coleman,3-4-3,Artur Soares Dias,Match Report,,11.0,2.0,4.0,18.0,11.0,19.0,6.0,6.0,republic of ireland
1,2023-06-16,21:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,1,2,gr Greece,,,51.0,17452.0,John Egan,3-4-1-2,Harald Lechner,Match Report,,7.0,3.0,2.0,10.0,11.0,12.0,6.0,6.0,republic of ireland
2,2023-06-19,19:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,3,0,gi Gibraltar,,,79.0,42156.0,James McClean,3-1-4-2,Marian Barbu,Match Report,,32.0,13.0,0.0,5.0,4.0,61.0,1.0,9.0,republic of ireland
3,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,L,0,2,fr France,,,32.0,43995.0,John Egan,3-4-3,Urs Schnyder,Match Report,,6.0,2.0,1.0,9.0,11.0,10.0,10.0,6.0,republic of ireland
4,2023-09-10,19:45,UEFA Euro Qualifying,Group stage,Sun,Home,L,1,2,nl Netherlands,,,52.0,49807.0,Shane Duffy,3-4-3,Irfan Peljto,Match Report,,9.0,1.0,3.0,16.0,9.0,22.0,7.0,9.0,republic of ireland
5,2023-10-13,19:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,0,2,gr Greece,,,58.0,41239.0,Shane Duffy,3-4-3,Glenn Nyberg,Match Report,,18.0,5.0,1.0,9.0,16.0,30.0,2.0,6.0,republic of ireland
6,2023-10-16,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,4,0,gi Gibraltar,,,74.0,4000.0,Shane Duffy,4-3-3,Christian-Petru Ciochirca,Match Report,,27.0,12.0,2.0,15.0,7.0,44.0,5.0,8.0,republic of ireland
7,2023-11-18,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,L,0,1,nl Netherlands,,,45.0,51811.0,Matt Doherty,3-4-3,Marco Di Bello,Match Report,,3.0,1.0,1.0,5.0,13.0,17.0,14.0,10.0,republic of ireland
8,2024-03-23,17:00,Friendlies (M),Friendlies (M),Sat,Home,D,0,0,be Belgium,,,,38128.0,Séamus Coleman,5-4-1,Rohit Saggi,Match Report,,,,0.0,,,,,,republic of ireland
9,2024-03-26,19:45,Friendlies (M),Friendlies (M),Tue,Home,L,0,1,ch Switzerland,,,,35742.0,Séamus Coleman,5-4-1,Paweł Raczkowski,Match Report,,,,1.0,,,,,,republic of ireland
10,2024-06-04,19:45,Friendlies (M),Friendlies (M),Tue,Home,W,2,1,hu Hungary,,,,29424.0,Séamus Coleman,3-4-3,Luís Godinho,Match Report,,,,3.0,,,,,,republic of ireland
11,2024-06-11,19:45,Friendlies (M),Friendlies (M),Tue,Away,L,0,3,pt Portugal,,,,27024.0,Séamus Coleman,3-4-3,Chris Kavanagh,Match Report,,,,0.0,,,,,,republic of ireland
0,2023-03-24,19:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,0,3,gr Greece,,,28.0,390.0,Roy Chipolina,4-4-2,Rohit Saggi,Match Report,,1.0,1.0,0.0,5.0,12.0,2.0,15.0,7.0,gibraltar
1,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,0,3,nl Netherlands,,,14.0,36327.0,Roy Chipolina,5-4-1,Morten Krogh,Match Report,,0.0,0.0,1.0,5.0,6.0,0.0,11.0,8.0,gibraltar
2,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,0,3,fr France,,,18.0,4065.0,Roy Chipolina,5-4-1,Yevhen Aranovskyi,Match Report,,2.0,0.0,0.0,4.0,6.0,7.0,10.0,5.0,gibraltar
3,2023-06-19,19:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,0,3,ie Rep. of Ireland,,,21.0,42156.0,Roy Chipolina,5-4-1,Marian Barbu,Match Report,,2.0,1.0,2.0,5.0,5.0,4.0,9.0,6.0,gibraltar
4,2023-09-10,21:45,UEFA Euro Qualifying,Group stage,Sun,Away,L,0,5,gr Greece,,,17.0,9774.0,Roy Chipolina,5-4-1,Manfredas Lukjančukas,Match Report,,0.0,0.0,1.0,6.0,9.0,2.0,10.0,8.0,gibraltar
5,2023-10-16,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,L,0,4,ie Rep. of Ireland,,,26.0,4000.0,Roy Chipolina,4-1-4-1,Christian-Petru Ciochirca,Match Report,,4.0,0.0,2.0,9.0,15.0,7.0,3.0,6.0,gibraltar
6,2023-11-18,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,L,0,14,fr France,,,27.0,32758.0,Roy Chipolina,5-4-1,John Brooks,Match Report,,0.0,0.0,0.0,5.0,9.0,1.0,14.0,8.0,gibraltar
7,2023-11-21,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,L,0,6,nl Netherlands,,,21.0,2280.0,Roy Chipolina,4-3-3,Arda Kardeşler,Match Report,,0.0,0.0,1.0,14.0,11.0,2.0,7.0,6.0,gibraltar
8,2024-06-03,18:00,Friendlies (M),Friendlies (M),Mon,Neutral,L,0,2,sct Scotland,,,,,Liam Walker,5-4-1,Jamie Robinson,Match Report,,,,0.0,,,,,,gibraltar
9,2024-06-06,17:00,Friendlies (M),Friendlies (M),Thu,Neutral,D,0,0,wls Wales,,,,,Liam Walker,4-1-4-1,Jamie Robinson,Match Report,,,,2.0,,,,,,gibraltar
0,2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,2.0,1.0,it Italy,,,42.0,44536.0,Harry Kane,4-3-3,Srđan Jovanović,Match Report,,7.0,4.0,5.0,6.0,12.0,8.0,9.0,6.0,england
1,2023-03-26,17:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,2.0,0.0,ua Ukraine,,,58.0,83947.0,Harry Kane,4-3-3,Serdar Gözübüyük,Match Report,,18.0,8.0,0.0,9.0,12.0,21.0,7.0,5.0,england
2,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,4.0,0.0,mt Malta,,,66.0,16277.0,Harry Kane,4-3-3,Igor Pajač,Match Report,,16.0,8.0,0.0,11.0,8.0,10.0,3.0,17.0,england
3,2023-06-19,19:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,7.0,0.0,mk N. Macedonia,,,67.0,70708.0,Harry Kane,4-3-3,István Kovács,Match Report,,14.0,10.0,2.0,13.0,8.0,13.0,8.0,4.0,england
