,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,crdy,fls,fld,crs,int,tklw,team
4,2023-09-08,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,3,1,is Iceland,,,44.0,7427.0,Christopher Martins,4-4-2,Goga Kikacheishvili,Match Report,,16.0,7.0,2.0,8.0,17.0,9.0,8.0,7.0,luxembourg
5,2023-09-11,19:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,0,9,pt Portugal,,,34.0,18932.0,Laurent Jans,4-5-1,John Brooks,Match Report,,4.0,1.0,3.0,15.0,9.0,7.0,6.0,11.0,luxembourg
6,2023-10-13,18:45,UEFA Euro Qualifying,Group stage,Fri,Away,D,1,1,is Iceland,,,42.0,4568.0,Christopher Martins,5-4-1,Sebastian Gishamer,Match Report,,8.0,1.0,5.0,17.0,18.0,5.0,4.0,16.0,luxembourg
7,2023-10-16,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,L,0,1,sk Slovakia,,,54.0,9386.0,Laurent Jans,4-5-1,José Sánchez,Match Report,,15.0,3.0,5.0,13.0,19.0,13.0,8.0,8.0,luxembourg
8,2023-11-16,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,4,1,ba Bosnia & Herz'na,,,54.0,8520.0,Christopher Martins,4-5-1,Andris Treimanis,Match Report,,8.0,5.0,2.0,13.0,22.0,17.0,10.0,8.0,luxembourg
9,2023-11-19,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,1,0,li Liechtenstein,,,57.0,2241.0,Laurent Jans,3-4-1-2,Stéphanie Frappart,Match Report,,9.0,4.0,0.0,16.0,20.0,14.0,9.0,8.0,luxembourg
10,2024-03-21,21:00,UEFA Euro Qualifying,Semi-finals,Thu,Away,L,0,2,ge Georgia,,,44.0,,Laurent Jans,4-5-1,José Sánchez,Match Report,,5.0,1.0,7.0,21.0,16.0,7.0,8.0,16.0,luxembourg
11,2024-03-26,20:45,Friendlies (M),Friendlies (M),Tue,Home,W,2,1,kz Kazakhstan,,,,8720.0,Laurent Jans,4-5-1,Christian Dingert,Match Report,,,,1.0,,,,,,luxembourg
12,2024-06-05,21:00,Friendlies (M),Friendlies (M),Wed,Away,L,0,3,fr France,,,,25590.0,Laurent Jans,4-5-1,Lawrence Visser,Match Report,,,,1.0,,,,,,luxembourg
13,2024-06-08,20:00,Friendlies (M),Friendlies (M),Sat,Away,L,0,3,be Belgium,,,,35287.0,Laurent Jans,5-4-1,Paweł Raczkowski,Match Report,,,,1.0,,,,,,luxembourg
0,2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,L,0,3,ba Bosnia & Herz'na,,,63.0,9234.0,Jóhann Berg Guðmundsson,4-1-4-1,Donatas Rumšas,Match Report,,9.0,3.0,3.0,10.0,12.0,21.0,2.0,9.0,iceland
1,2023-03-26,18:00,UEFA Euro Qualifying,Group stage,Sun,Away,W,7,0,li Liechtenstein,,,78.0,1692.0,Aron Gunnarsson,4-4-2,Jakob Kehlet,Match Report,,27.0,15.0,1.0,14.0,11.0,49.0,7.0,5.0,iceland
2,2023-06-17,18:45,UEFA Euro Qualifying,Group stage,Sat,Home,L,1,2,sk Slovakia,,,48.0,7555.0,Jóhann Berg Guðmundsson,4-3-3,Don Robertson,Match Report,,8.0,3.0,1.0,9.0,8.0,19.0,11.0,10.0,iceland
3,2023-06-20,18:45,UEFA Euro Qualifying,Group stage,Tue,Home,L,0,1,pt Portugal,,,29.0,9517.0,Jóhann Berg Guðmundsson,4-3-3,Daniel Siebert,Match Report,,7.0,1.0,5.0,13.0,9.0,17.0,3.0,9.0,iceland
